,name,BUSNAME,address_admin,PropAddr,APN,ACCOUNT,BUSTYPE,OWNER,APPRVALUE,ASSDVALUE,secondary_source,notes
463,Symphony Lounge at Hilton Nashville Downtown,HILTON NASHVILLE DOWNTOWN,121 4TH AVE S,121 4TH AVE S,093064B00100CO,116688,Full Service Hotel,DOWNTOWN HOTEL LLC,4391565,1317470,"[
 {
   ""name"": ""Symphony Lounge at Hilton Nashville Downtown"",
   ""BUSNAME"": ""ENCORE GROUP USA LLC"",
   ""address_admin"": ""121 4TH AVE S"",
   ""PropAddr"": ""121 4TH AVE S"",
   ""APN"": ""093064B00100CO"",
   ""ACCOUNT"": 162999,
   ""BUSTYPE"": ""Engineering Services"",
   ""OWNER"": ""ENCORE ENCORE GROUP USA LLC"",
   ""APPRVALUE"": 67049,
   ""ASSDVALUE"": 20115
 },
 {
   ""name"": ""Symphony Lounge at Hilton Nashville Downtown"",
   ""BUSNAME"": ""ENCORE GROUP USA LLC"",
   ""address_admin"": ""121 4TH AVE S"",
   ""PropAddr"": ""121 4TH AVE S"",
   ""APN"": ""093064B00100CO"",
   ""ACCOUNT"": 178406,
   ""BUSTYPE"": ""Equipment Only"",
   ""OWNER"": ""AUDIO VISUAL SERVICES GOUP LLC"",
   ""APPRVALUE"": 147004,
   ""ASSDVALUE"": 44101
 }
]",hotel
470,TailGate Brewery East,TAILGATE BREWERY EAST,811 GALLATIN AVE,811 GALLATIN AVE,8305018200,174131,Full Service Resturants,TAILGATE BREWERY EAST,43943,13183,NA,NA
475,Tailgate Brewery-HQ,TAILGATE BREWERY LLC,7300 CHARLOTTE PIKE,7300 CHARLOTTE PIKE,11400013700,162457,Microbrewery,TAILGATE BREWERY LLC,204072,61222,"[
 {
   ""name"": ""Tailgate Brewery-HQ"",
   ""BUSNAME"": ""TAILGATE BEER LLC"",
   ""address_admin"": ""7300 CHARLOTTE PIKE"",
   ""PropAddr"": ""7300 CHARLOTTE PIKE"",
   ""APN"": 11400013700,
   ""ACCOUNT"": ""161272"",
   ""BUSTYPE"": ""Microbrewery"",
   ""OWNER"": ""TAILGATE BEER LLC"",
   ""APPRVALUE"": 609608,
   ""ASSDVALUE"": 182882
 }
]",multiple music venues possible
479,Tennessee Brew Works,TENNESSEE BREW WORKS,809 EWING AVE,809 EWING AVE,9314033500,169850,Microbrewery,TENNESSEE BREW WORKS,979856,293957,"[
 {
   ""name"": ""Tennessee Brew Works"",
   ""BUSNAME"": ""TENNESSEE TAPROOM LLC"",
   ""address_admin"": ""809 EWING AVE"",
   ""PropAddr"": ""809 EWING AVE"",
   ""APN"": 9314033500,
   ""ACCOUNT"": 161208,
   ""BUSTYPE"": ""Drinking Places (Alcoholic Bev"",
   ""OWNER"": ""TENNESSEE TAPROOM LLC"",
   ""APPRVALUE"": 168255,
   ""ASSDVALUE"": 50477
 },
 {
   ""name"": ""Tennessee Brew Works"",
   ""BUSNAME"": ""TENNESSEE BREW WORKS LLC"",
   ""address_admin"": ""809 EWING AVE"",
   ""PropAddr"": ""809 EWING AVE"",
   ""APN"": 9314033500,
   ""ACCOUNT"": 161892,
   ""BUSTYPE"": ""Microbrewery"",
   ""OWNER"": ""TENNESSEE BREW STATION LLC"",
   ""APPRVALUE"": 0,
   ""ASSDVALUE"": 0
 }
]",multiple music venues possible
480,Tequila Cowboy,TEQUILA COWBOY,305 BROADWAY,305 BROADWAY,9306402600,138385,Drinking Places (Alcoholic Bev,TEQUILA COWBOY,275927,82778,NA,NA
493,Texas Troubadour Theatre,TEXAS TROUBADOUR THEATRE,2416 MUSIC VALLEY DR,2416 MUSIC VALLEY DR,6200023300,173827,Musical Groups + Artists,RUDY'S FARM COMPANY OF TENNESSEE,7493,2248,NA,NA
505,The 5 Spot,"FIVE SPOT, THE LLC",1006 FORREST AVE,1006 FORREST AVE,8309013000,126028,Drinking Places (Alcoholic Bev,"FIVE SPOT, THE LLC",53437,16031,NA,NA
507,The Basement East,"BASEMENT AT 1604, THE",1604 8TH AVE S,1604 8TH AVE S,10506019900,118009,Drinking Places (Alcoholic Bev,NA,79568,23870,NA,NA
512,The Bridge (Renaissance Nashville Hotel),CATAPULT INTEGRATED SERVICES LLC,611 COMMERCE ST,611 COMMERCE ST,9306311900,157124,Office Administrative Services,CATAPULT INTEGRATED SERVICES LLC,259649,77895,NA,hotel
517,The Cobra,COBRA THE,2511 GALLATIN AVE,2511 GALLATIN AVE,7213009300,168539,Drinking Places (Alcoholic Bev,NIKOLAOS C GEHRKE,2000,600,NA,NA
518,The Countrypolitan Bar & Kitchen (inside Hotel Indigo),TN UNION OWNER LLC,301 UNION ST,301 UNION ST,9302315200,146150,Full Service Hotel,ROBERT W WINSTON III,1579852,473956,NA,hotel
519,The Cowan,TOPGOLF NASHVILLE,500 COWAN ST,500 COWAN ST,8210006200,171154,Fitness + Recreational Sports,TOPGOLF NASHVILLE,3663211,1098963,NA,NA
520,The District Bar & Kitchen (Hotel Indigo Downtown),KING + BALLOW,315 UNION ST,315 UNION ST,9302315100,99959,Offices of Lawyers,MICHAEL D OESTERLE,191733,57520,NA,hotel
521,The Donelson Pub,DONELSON PUB,945 ALLEN RD,945 ALLEN RD,9613015301,94764,Drinking Places (Alcoholic Bev,"PUB LLC, THE",89291,26787,NA,NA
524,The East Room,EAST ROOM THE,2412 GALLATIN AVE,2412 GALLATIN AVE,7213039000,162307,Drinking Places (Alcoholic Bev,EAST ROOM THE,1000,300,NA,NA
525,The Eighth Room,NA,2106 8TH AVE S,NA,10510029900,NA,NA,NA,NA,NA,NA,NA
528,The End,"END, THE",2219 ELLISTON PL,2219 ELLISTON PL,9215017100,122493,Drinking Places (Alcoholic Bev,BRUCE FITZPATRICK,79568,23870,NA,NA
529,The Fisher Center for the Performing Arts,NA,2020 BELMONT BLVD,NA,10416041400,NA,NA,NA,NA,NA,NA,NA
572,The Gibson Garage,CINCO DE MAYO,209 10TH AVE S,209 10TH AVE S,9309032000,162049,Drinking Places (Alcoholic Bev,GUADALUPE INC,10763,3229,"[
 {
   ""name"": ""The Gibson Garage"",
   ""BUSNAME"": ""GIBSON BRANDS, INC."",
   ""address_admin"": ""209 10TH AVE S"",
   ""PropAddr"": ""209 10TH AVE S"",
   ""APN"": 9309032000,
   ""ACCOUNT"": 118295,
   ""BUSTYPE"": ""Office Administrative Services"",
   ""OWNER"": ""GIBSON GUITAR CORP"",
   ""APPRVALUE"": 2431783,
   ""ASSDVALUE"": 729535
 }
]",multiple music venues possible
582,The Lipstick Lounge,BROAD BASED PRODUCTIONS LLC,1400 WOODLAND ST,1400 WOODLAND ST,8309041700,122593,Drinking Places (Alcoholic Bev,CHRISTA SUPPAN,60730,18219,NA,NA
583,The Listening Room,LISTENING ROOM CAFE,618 4TH AVE S,618 4TH AVE S,9311024500,177573,Drinking Places (Alcoholic Bev,LISTENING ROOM CAFE,44573,13372,NA,NA
584,The Local Distro,NA,614 GARFIELD ST,NA,8108041400,NA,NA,NA,NA,NA,NA,NA
585,The Local Nashville,LOCAL THE,110 28TH AVE N,110 28TH AVE N,10403000500,172031,Small Resturants-Independents,LOCAL THE,32910,9873,NA,NA
599,The Office Nashville,POP LLC,604 GALLATIN AVE,604 GALLATIN AVE,8305012900,165037,Small Resturants-Independents,POP LLC,34236,10271,NA,NA
601,The Parthenon,NA,2500 WEST END AVE,NA,9214007600,NA,NA,NA,NA,NA,NA,NA
602,The Row Kitchen & Pub,ROW INC THE,110 LYLE AVE,110 LYLE AVE,9216013400,158256,Full Service Resturants,THE ROW INC,153352,46006,NA,NA
603,The Rum Room,NA,2116 MEHARRY BLVD,NA,9203005800,NA,NA,NA,NA,NA,NA,NA
604,The Second Fiddle,SECOND FIDDLE,420 BROADWAY,420 BROADWAY,9306307400,125187,Drinking Places (Alcoholic Bev,SECOND FIDDLE INC,54862,16459,NA,NA
605,The Stage on Broadway,"STAGE ON BROADWAY INC, THE",412 BROADWAY,412 BROADWAY,9306307800,120280,Drinking Places (Alcoholic Bev,"STAGE ON BROADWAY, THE",222035,66611,NA,NA
606,The Station Inn,STATION INN,402 12TH AVE S,402 12TH AVE S,9313058100,89734,Drinking Places (Alcoholic Bev,EARL J. T. GRAY,1000,300,NA,NA
607,The Stillery (Downtown),"STILLERY, THE",113 2ND AVE N,113 2ND AVE N,9306204900,164127,Full Service Resturants,"STILLERY, THE",65982,19795,NA,NA
608,The Underdog,NA,3208 GALLATIN PIKE,NA,7206023800,NA,NA,NA,NA,NA,NA,NA
609,The Valentine,"CUSABOO JR., LLC - THE VALENTINE",312 BROADWAY,312 BROADWAY,9306400500,172800,Full Service Resturants,"VALENTINE, THE",169815,50945,NA,NA
610,The Vinyl Lounge,IL FORNO LLC,1414 3RD AVE S,1414 3RD AVE S,10507043500,170126,"Caterers, Food Wagon, Mobile",IL FORNO LLC,48680,14604,NA,NA
615,Thirsty Turtle Sports Grill,"THIRSTY TURTLE SPORTS GRILL, THE",1307 BELL RD,1307 BELL RD,16200029000,152178,Drinking Places (Alcoholic Bev,THIRSTY TURTLE,12610,3783,NA,NA
624,Tin Roof Broadway,TIN ROOF,316 BROADWAY,316 BROADWAY,9306201200,161288,Full Service Resturants,TIN ROOF,404176,121253,NA,NA
625,Tootsie's Orchid Lounge,TOOTSIE`S ORCHID LOUNGE,422 BROADWAY,422 BROADWAY,9306307300,99173,Drinking Places (Alcoholic Bev,TIMOTHY SMITH,286818,86045,NA,NA
701,Top Golf,TOPGOLF NASHVILLE,500 COWAN ST,500 COWAN ST,8210006200,171154,Fitness + Recreational Sports,TOPGOLF NASHVILLE,3663211,1098963,NA,NA
702,Tribe,SUZY WONGS NASHVILLE LLC,1515 CHURCH ST,1515 CHURCH ST,9212036400,139176,Full Service Resturants,ZEUS ENTERPRISES + ARNOLD MYINT,22651,6795,NA,NA
704,TRUE Music Room and Bar (Cambria Hotel & Suites),"EIGHTH SOBRO, INC",118 8TH AVE S,118 8TH AVE S,9310048900,174803,Full Service Resturants,"BLACK, KELLY",226984,68095,"[
 {
   ""name"": ""TRUE Music Room and Bar (Cambria Hotel & Suites)"",
   ""BUSNAME"": ""CAMBRIA NASHVILLE"",
   ""address_admin"": ""118 8TH AVE S"",
   ""PropAddr"": ""118 8TH AVE S"",
   ""APN"": 9310048900,
   ""ACCOUNT"": 172320,
   ""BUSTYPE"": ""Full Service Hotel"",
   ""OWNER"": ""CHOICE HOTELS"",
   ""APPRVALUE"": 2731676,
   ""ASSDVALUE"": 819503
 }
]",hotel
705,Twin Kegs II,TWIN KEG II BAR + GRILL,327 HERMITAGE AVE,327 HERMITAGE AVE,9413005100,161960,Drinking Places (Alcoholic Bev,NA,56813,17044,NA,NA
707,Urban Cowboy Public House Bar,103 NORTH 16TH LLC,1603 WOODLAND ST,1603 WOODLAND ST,8310018500,181890,Drinking Places (Alcoholic Bev,"PORTER, LYON",40633,12190,NA,NA
708,Van Gogh's Ear Wine Bar,615 CHUTNEY,1112 WOODLAND ST,1112 WOODLAND ST,8309017500,175298,Small Resturants-Independents,615 CHUTNEY,15000,4500,NA,NA
709,Vinyl Tap,VINYL TAP WAX + DRAFTS,2038 GREENWOOD AVE,2038 GREENWOOD AVE,8303006400,168568,Drinking Places (Alcoholic Bev,VINYL TAP WAX + DRAFTS,35905,10772,NA,NA
712,WannaB's Karaoke Bar,WANNA B`S KARAOKE BAR,305 BROADWAY,305 BROADWAY,9306402600,138388,Drinking Places (Alcoholic Bev,WANNA B`S KARAOKE BAR,51586,15476,NA,NA
713,War Memorial Auditorium,NA,301 6TH AVE N,NA,9301008100,NA,NA,NA,NA,NA,NA,NA
714,Whiskey Bent Saloon,WHISKEY BENT SALOON LLC,306 BROADWAY,306 BROADWAY,9306202700,147184,Drinking Places (Alcoholic Bev,NA,75310,22593,NA,NA
715,Wildhorse Saloon,WILD HORSE SALOON,120 2ND AVE N,120 2ND AVE N,9306208100,99851,Full Service Resturants,MARRIOTT HOTEL SERVICES INC,2318236,695471,NA,NA
717,Winners Bar & Grill,ELEVATION 9 LLC,1913 DIVISION ST,1913 DIVISION ST,9216025500,145761,Drinking Places (Alcoholic Bev,MEMBERS,189035,56711,NA,NA
719,Yee Haw Brewing Co.,YEE HAW BREWING CO,423 6TH AVE S,423 6TH AVE S,9310018800,177595,Microbrewery,YEE HAW BREWING CO,72638,21791,NA,NA
723,Zanies Comedy Showplace Nashville,ZANIES REDAMAKS,2025 8TH AVE S,2025 8TH AVE S,10510018300,90307,Drinking Places (Alcoholic Bev,BRIAN DORFMAN,121398,36419,NA,NA
724,Ascend Amphitheater,LIVE NATION INC,310 1ST AVE S,310 1ST AVE S,9306004100,175042,Music/Performance Venue,LIVE NATION INC,536396,160919,NA,NA
726,"CE gallery
(WEHO and/or Madison location)",NA,425 CHESTNUT ST,425 CHESTNUT ST,10503017100,NA,NA,NA,NA,NA,NA,none look correct
733,Cheekwood Botanical Garden and Museum of Art,"CHEEKWOOD MANSION GIFT SHOP, THE",111 CHEEK RD,111 CHEEK RD,12912013400,177525,"Gift, Novelty, Souvenir Store","CHEEKWOOD MANSION GIFT SHOP, THE",2942,883,"[
 {
   ""name"": ""Cheekwood Botanical Garden and Museum of Art"",
   ""BUSNAME"": ""CAFE 29 AT CHEEKWOOD"",
   ""address_admin"": ""111 CHEEK RD"",
   ""PropAddr"": ""111 CHEEK RD"",
   ""APN"": 12912013400,
   ""ACCOUNT"": 92732,
   ""BUSTYPE"": ""Full Service Resturants"",
   ""OWNER"": ""CHEEKWOOD"",
   ""APPRVALUE"": 105303,
   ""ASSDVALUE"": 31591
 }
]",multiple music venues possible
734,City Winery Nashville,CITY WINERY,600 MIDDLETON ST,600 MIDDLETON ST,9314059200,162182,Drinking Places (Alcoholic Bev,CITY WINERY LLC,3151062,945319,NA,NA
735,Deep Tropics (Music Festival),NA,900 ROSA L PARKS BLVD,900 ROSA L PARKS BLVD,8213036600,NA,NA,NA,NA,NA,NA,park
755,Delgado Guitars,NA,919 C GALLATIN AVE,NA,8301045500,NA,NA,NA,NA,NA,NA,NA
757,Drifters BBQ,DRIFTERS,1008 WOODLAND ST,1008 WOODLAND ST,8309021400,144973,Drinking Places (Alcoholic Bev,MATT CHARETTE,13692,4108,NA,NA
759,Eastside Bowl,JDM MANAGEMENT INC,1508 GALLATIN PIKE,1508 GALLATIN PIKE,5100018000,141004,"Automotive Parts, Accessories",JDM MANAGEMENT INC,27659,8298,NA,NA
760,Fanny's House of Music,FANNY`S HOUSE OF MUSIC INC,1101 HOLLY ST,1101 HOLLY ST,8309023600,145892,General Retail,JESSICA MAPLES,2000,600,NA,NA
761,GEODIS Park,NA,0 RAINS AVE,NA,10507037500,NA,NA,NA,NA,NA,NA,NA
762,GEODIS Park,NA,0 RAINS AVE,NA,10507051900,NA,NA,NA,NA,NA,NA,NA
763,GEODIS Park,NA,0 RAINS AVE,NA,10511033100,NA,NA,NA,NA,NA,NA,NA
764,GEODIS Park,NA,0 RAINS AVE,NA,10511033000,NA,NA,NA,NA,NA,NA,NA
773,Homegrown Taproom Kitchen,HOMEGROWN TAPROOM + MARKETPLACE,2720 OLD LEBANON PIKE,2720 OLD LEBANON PIKE,9601016300,163550,General Retail,HOMEGROWN TAPROOM + MARKETPLACE,35897,10769,NA,NA
775,Jane's Hideaway,NO 308,403 GALLATIN AVE,403 GALLATIN AVE,8309000800,156127,Drinking Places (Alcoholic Bev,NO 308,22482,6745,NA,NA
779,Lipscomb University Department of Theatre,LIPSCOMB UNIVERSITY CAMPUS STORE,1 UNIVERSITY PARK DR,1 UNIVERSITY PARK DR,11716016300,181902,Book Stores + News Dealers,LIPSCOMB UNIVERSITY CAMPUS STORE,44027,13208,NA,NA
835,Little Harpeth Brewing,HOST TRA BNA FB LLC,1 TERMINAL DR,1 TERMINAL DR,10700005000,174775,Small Resturants-Independents,HOST TRA BNA FB LLC,78092,23428,NA,NA
855,Marathon Music Works,JR FACILITY MANAGEMENT LLC,1404 CLINTON ST,1404 CLINTON ST,9208001800,152777,Office Administrative Services,JR FACILITY MANAGEMENT LLC,56116,16835,NA,NA
856,McNamara's Irish Pub,MCNAMARA`S IRISH PUB + RESTAURANT,2740 OLD LEBANON PIKE,2740 OLD LEBANON PIKE,9601001600,146619,Small Resturants-Independents,MCNAMARA`S IRISH PUB + RESTAURANT,43339,13002,NA,NA
857,Mirror Mirror,CLOUD 9 SALON & DAY SPA,2623 LEBANON PIKE,2623 LEBANON PIKE,9504018600,173919,"Hair, Nail + Skin Care Service",CLOUD 9 SALON & DAY SPA,9725,2918,NA,NA
859,Music Makers Stages at Delgado Guitars,DELGADO GUITARS,919 A GALLATIN AVE,919 A GALLATIN AVE,8301041800,141549,Misc Small Mfg,MANUEL DELGADO,13397,4019,NA,NA
865,Musicians Hall of Fame and Museum,MUSICIANS HALL OF FAME AND MUSEUM,417 4TH AVE N,417 4TH AVE N,9302001300,145973,Office Administrative Services,MUSICIANS HALL OF FAME AND MUSEUM,6890,2067,NA,NA
866,Nashville Children's Theatre,BARBERSHOP TOURS INC,700 PRESIDENT RONALD REAGAN WAY,700 PRESIDENT RONALD REAGAN WAY,9311019900,151018,Musical Groups + Artists,BARBERSHOP TOURS INC,8938,2681,NA,NA
867,Out Loud Music Festival; Tomato Art Fest,NA,1106 WOODLAND ST,NA,8309017800,NA,NA,NA,NA,NA,NA,NA
869,Pearl Diver,PEARL DIVER LLC,1010 GALLATIN AVE,1010 GALLATIN AVE,8301015500,173389,Small Resturants-Independents,"SPICHER, MATT",41580,12474,NA,NA
871,Queen Ave Collective,NA,180 QUEEN AVE,NA,7107002600,NA,NA,NA,NA,NA,NA,NA
872,Rebar at the Dam,REBAR AT THE DAM,3248 BLACKWOOD DR,3248 BLACKWOOD DR,9713003900,171454,Drinking Places (Alcoholic Bev,REBAR AT THE DAM,135418,40625,NA,NA
873,Rosemary and Beauty Queen (bar); Pink Spiders (band),ROSEMARY & BEAUTY QUEEN THE,1102 FORREST AVE,1102 FORREST AVE,8309012500,170733,Full Service Resturants,ROSEMARY & BEAUTY QUEEN THE,367494,110248,NA,NA
874,The Ballad of Emerson Hall,NA,2510 GALLATIN AVE,NA,7213038300,NA,NA,NA,NA,NA,NA,NA
875,The Bluebird Cafe,HELENS,4104 A HILLSBORO PIKE,4104 A HILLSBORO PIKE,131020B00300CO,91365,General Retail,JANE M. JACKSON,83777,25133,NA,NA
876,The Fairgrounds Nashville,NA,0 RAINS AVE,NA,10507037500,NA,NA,NA,NA,NA,NA,NA
877,The Fairgrounds Nashville,NA,0 RAINS AVE,NA,10507051900,NA,NA,NA,NA,NA,NA,NA
878,The Fairgrounds Nashville,NA,0 RAINS AVE,NA,10511033100,NA,NA,NA,NA,NA,NA,NA
879,The Fairgrounds Nashville,NA,0 RAINS AVE,NA,10511033000,NA,NA,NA,NA,NA,NA,NA
881,The Getalong,"GETALONG, THE",700 A FATHERLAND ST,700 A FATHERLAND ST,8216023900,176254,General Retail,"KITE, JENNIFER",1000,300,NA,NA
883,The Hideout Salon and Lounge,BOB`S BODY SHOP,2605 GALLATIN AVE,2605 GALLATIN AVE,7213003900,84517,Automotive Body & Paint,NA,1638,491,NA,NA
885,The High Watt,MERCY LOUNGE,1 CANNERY ROW,1 CANNERY ROW,9314000200,122826,Drinking Places (Alcoholic Bev,MERCY LOUNGE,79568,23870,NA,NA
886,The Jamnasium-nashville City Center,NA,511 UNION ST,511 UNION ST,9306101600,NA,NA,NA,NA,NA,NA,park
905,The Treehouse,"PIE IN THE SKY PIZZA, INC.",1011 CLEARVIEW AVE,1011 CLEARVIEW AVE,8309013800,159527,Small Resturants-Independents,"PIE IN THE SKY PIZZA, INC.",193213,57964,NA,NA
915,The Wedge pizza Pub,LOADING DOCK THE,2020 LINDELL AVE,2020 LINDELL AVE,10510036000,173577,Small Resturants-Independents,LOADING DOCK THE,17218,5165,NA,NA
917,TSU Performing Arts Center,NA,3401 JOHN A MERRITT BLVD,3401 JOHN A MERRITT BLVD,9201001900,NA,NA,NA,NA,NA,NA,none look correct
921,Yay Yay's,SMOOTHIE KING,1903 JEFFERSON ST,1903 JEFFERSON ST,9203042000,174090,Limited Service-Fast Food,SMOOTHIE KING,254384,76315,NA,NA
922,Yolan,NA,401 KOREAN VETERANS BLVD,NA,093100F00100CO,NA,NA,NA,NA,NA,NA,NA
923,3rd & Lindsley,VINMAN CORPORATION,805 PRESIDENT RONALD REAGAN WAY,805 PRESIDENT RONALD REAGAN WAY,9315006000,93025,Small Resturants-Independents,NA,127919,38376,NA,NA
932,Alley Taps,NA,162 4TH AVE N 205,NA,093061F20500CO,NA,NA,NA,NA,NA,NA,NA
933,Andrew Jackson Hall-TPAC,DIPPIN DOTS LLC,301 REP JOHN LEWIS WAY N,301 REP JOHN LEWIS WAY N,9302300700,181996,General Retail,DIPPIN DOTS LLC,21288,6386,NA,NA
935,Anzie Blue,ANZIE BLUE,1803 21ST AVE S,1803 21ST AVE S,10412000300,181416,Small Resturants-Independents,ANZIE BLUE,21240,6372,NA,NA
944,Assembly Food Hall,SHAKE SHACK TENNESSEE LLC 1255,500 BROADWAY,500 BROADWAY,093063A00300CO,182143,Limited Service-Fast Food,SHAKE SHACK TENNESSEE LLC 1255,58431,17529,NA,park
1099,Bavarian Bierhaus,BAVARIAN BIERHAUS,433 OPRY MILLS DR,433 OPRY MILLS DR,7300001700,170256,Full Service Resturants,BAVARIAN BIERHAUS,275366,82610,NA,NA
1139,Belcourt Theatre,NA,2100 BELCOURT AVE,NA,10408010800,NA,NA,NA,NA,NA,NA,NA
1140,Betty's Grill,BETTY`S GRILL,4900 CHARLOTTE AVE,4900 CHARLOTTE AVE,9115025000,87886,Limited Service-Fast Food,BETTY OLIVER,1000,300,NA,NA
1143,Big Machine Brewery,BIG MACHINE STORE & DISTILLERY,120 3RD AVE S,120 3RD AVE S,9306405500,177345,Drinking Places (Alcoholic Bev,BIG MACHINE STORE & DISTILLERY,44573,13372,NA,NA
1144,Black Rabbit,BLACK RABBIT LLC,218 3RD AVE N #100,218 3RD AVE N #100,093023F00100CO,169097,Small Resturants-Independents,BLACK RABBIT LLC,136976,41093,NA,NA
1145,Bourbon Street Blues and Boogie Bar,BOURBON STREET BLUES AND BOOGIE BAR,218 4TH AVE N,218 4TH AVE N,9302316100,99505,Drinking Places (Alcoholic Bev,BOURBON STREET BLUES AND BOOGIE BAR,79568,23870,NA,NA
1147,Brooklyn Bowl Nashville,BOWLS HOLDINGS NASHVILLE LLC,915 3RD AVE N,915 3RD AVE N,8213040500,178837,Drinking Places (Alcoholic Bev,BROOKLYN BOWL NASHVILLE,3011139,903342,NA,NA
1158,Bucanas 2009,BUCANAS,3802 NOLENSVILLE PIKE,3802 NOLENSVILLE PIKE,13300002400,147305,Small Resturants-Independents,NA,10700,3210,NA,NA
1160,Carl's Corner Pub & Bar,CARL`S,3755 NOLENSVILLE PIKE,3755 NOLENSVILLE PIKE,13310004200,152765,Small Resturants-Independents,CARL`S,5809,1743,NA,NA
1165,Casa Rosa Miranda Lamberts,SAVANNAH`S CANDY KITCHEN OF NASHVILLE INC,308 BROADWAY,308 BROADWAY,9306202600,153886,Small Resturants-Independents,SAVANNAH`S CANDY KITCHEN OF NASHVILLE INC,56986,17096,NA,NA
1166,Casa Rosa Miranda Lamberts,CRAZY TOWN NASHVILLE,308 BROADWAY,308 BROADWAY,9306202600,172085,Full Service Resturants,CRAZY TOWN NASHVILLE,216779,65034,NA,NA
1167,CMA Theater,NA,224 REP JOHN LEWIS WAY S,NA,093100B00200CO,NA,NA,NA,NA,NA,NA,NA
1168,Country Music Hall of Fame and Museum,COUNTRY MUSIC FOUNDATION,222 REP JOHN LEWIS WAY S,222 REP JOHN LEWIS WAY S,093100B00100CO,100902,Musical Groups + Artists,NA,0,0,"[
 {
   ""name"": ""Country Music Hall of Fame and Museum"",
   ""BUSNAME"": ""COUNTRY MUSIC FOUNDATION INC"",
   ""address_admin"": ""222 REP JOHN LEWIS WAY S"",
   ""PropAddr"": ""222 REP JOHN LEWIS WAY S"",
   ""APN"": ""093100B00100CO"",
   ""ACCOUNT"": 101110,
   ""BUSTYPE"": ""Office Administrative Services"",
   ""OWNER"": ""COUNTRY MUSIC FOUNDATION INC"",
   ""APPRVALUE"": 3240750,
   ""ASSDVALUE"": 972225
 },
 {
   ""name"": ""Country Music Hall of Fame and Museum"",
   ""BUSNAME"": ""HALL OF FAME GRILL & CATERING, LLC"",
   ""address_admin"": ""222 REP JOHN LEWIS WAY S"",
   ""PropAddr"": ""222 REP JOHN LEWIS WAY S"",
   ""APN"": ""093100B00100CO"",
   ""ACCOUNT"": 129374,
   ""BUSTYPE"": ""Small Resturants-Independents"",
   ""OWNER"": ""COUNTRY MUSIC FOUNDATION"",
   ""APPRVALUE"": 407490,
   ""ASSDVALUE"": 122247
 }
]",multiple music venues possible
1174,Ellingston's,FAIRLANE HOTEL,241 4TH AVE N,241 4TH AVE N,9302305500,173159,Full Service Hotel,FAIRLANE HOTEL,4404411,1321323,NA,hotel
1176,EXIT/IN,"BONA FIDE LIVE, INC",2208 ELLISTON PL,2208 ELLISTON PL,9215011000,177861,Office Administrative Services,"BONA FIDE LIVE, INC",9998,2999,NA,NA
1177,FISK University Little Theatre,NA,934 DR D B TODD JR BLVD,NA,9203041400,NA,NA,NA,NA,NA,NA,NA
1178,General Jackson Showboat,PAULA DEEN`S FAMILY KITCHEN,577 OPRY MILLS DR,577 OPRY MILLS DR,7300003900,181410,Full Service Resturants,PAULA DEEN`S FAMILY KITCHEN,2010487,603146,NA,NA
1179,Hard Rock Cafe,HARD ROCK CAFE INTL STP INC,108 2ND AVE N,108 2ND AVE N,9306208600,99146,Full Service Resturants,HARD ROCK CAFE INTL STP INC,712341,213702,NA,NA
1182,Hifi Clyde's Nashville,CLYDE`S ON CHURCH,1700 CHURCH ST,1700 CHURCH ST,9212030500,167643,Drinking Places (Alcoholic Bev,CLYDE`S ON CHURCH,363437,109031,NA,NA
1184,Hopsmith Tavern,HOPSMITH TAVERN,1903 DIVISION ST,1903 DIVISION ST,9216026100,171264,Drinking Places (Alcoholic Bev,HOPSMITH TAVERN,498049,149415,NA,NA
1185,James K Polk Theater-TPAC,DIPPIN DOTS LLC,301 REP JOHN LEWIS WAY N,301 REP JOHN LEWIS WAY N,9302300700,181996,General Retail,DIPPIN DOTS LLC,21288,6386,NA,NA
1186,Jason Aldean's Kitchen + Rooftop Bar,JASON ALDEAN`S KITCHEN + ROOFTOP BAR,309 BROADWAY,309 BROADWAY,9306402500,172971,Drinking Places (Alcoholic Bev,JASON ALDEAN`S KITCHEN + ROOFTOP BAR,591577,177473,NA,NA
1188,John A's Restaurant,JOHN A`S LITTLE PALACE,2425 MUSIC VALLEY DR,2425 MUSIC VALLEY DR,6200015400,132468,Drinking Places (Alcoholic Bev,JOHN A`S LITTLE PALACE,91748,27524,NA,NA
1191,Kittenish,VELOCITY APARTMENTS IN THE GULCH,320 11TH AVE S,320 11TH AVE S,093130B00200CO,158132,Apts W/Clubhouse,NICOL INVESTMENT CO,143969,43191,NA,NA
1196,La Terraza Mexican Restaurant,CICI`S PIZZA #326,5731 NOLENSVILLE PIKE,5731 NOLENSVILLE PIKE,16100014000,113862,Limited Service-Fast Food,AYCE ENTERPRISES INC,57411,17223,NA,none look correct
1201,Las Cazuelas,LAS CAZUELAS MEXICAN GRILL INC,4112 NOLENSVILLE PIKE,4112 NOLENSVILLE PIKE,14700000800,132328,Full Service Resturants,JOSE GUTTERREZ,65040,19512,NA,NA
1203,Legends Corner,LEGENDS CORNER,424 BROADWAY,424 BROADWAY,9306307200,101548,Drinking Places (Alcoholic Bev,BROADWAY ENTERTAINMENT,105932,31780,NA,NA
